01,20140702,0000,0070,2302,0125,1,0103,20140702182208,20140702182308,2
01,20140702,0000,0070,2302,0125,2,0104,20140702182648,20140702182718,2
01,20140702,0000,0070,2302,0125,3,0105,20140702182948,20140702183018,2
01,20140702,0000,0070,2302,0125,4,0106,20140702183248,20140702183313,2
01,20140702,0000,0070,2302,0125,5,0107,20140702183513,20140702183548,2
01,20140702,0000,0070,2302,0125,6,0108,20140702183808,20140702183848,2
01,20140702,0000,0070,2302,0125,7,0109,20140702184058,20140702184133,2
01,20140702,0000,0070,2302,0125,8,0110,20140702184313,20140702184358,2
01,20140702,0000,0070,2302,0125,9,0111,20140702184538,20140702184628,2
01,20140702,0000,0070,2302,0125,10,0112,20140702184808,20140702184838,2
01,20140702,0000,0070,2302,0125,11,0113,20140702185038,20140702185105,2
01,20140702,0000,0070,2302,0125,12,0114,20140702185225,20140702185312,2
01,20140702,0000,0070,2302,0125,13,0115,20140702185512,20140702185557,2
01,20140702,0000,0070,2302,0125,14,0116,20140702185727,20140702185753,2
01,20140702,0000,0070,2302,0125,15,0117,20140702185923,20140702185951,2
01,20140702,0000,0070,2302,0125,16,0118,20140702190121,20140702190151,2
01,20140702,0000,0070,2302,0125,17,0119,20140702190311,20140702190354,2
01,20140702,0000,0070,2302,0125,18,0120,20140702190544,20140702190623,2
01,20140702,0000,0070,2302,0125,19,0121,20140702190823,20140702190853,2
01,20140702,0000,0070,2302,0125,20,0122,20140702191003,20140702191048,2
01,20140702,0000,0070,2302,0125,21,0123,20140702191248,20140702191318,2
01,20140702,0000,0070,2302,0125,22,0124,20140702191548,20140702191633,2
01,20140702,0000,0070,2302,0125,23,0125,20140702191903,20140702192003,2
01,20140702,0000,0012,1269,0103,1,0124,20140702165937,20140702170007,1
01,20140702,0000,0012,1269,0103,2,0123,20140702170237,20140702170315,1
01,20140702,0000,0012,1269,0103,3,0122,20140702170515,20140702170600,1
01,20140702,0000,0012,1269,0103,4,0121,20140702170710,20140702170740,1
01,20140702,0000,0012,1269,0103,5,0120,20140702170940,20140702171021,1
01,20140702,0000,0012,1269,0103,6,0119,20140702171211,20140702171251,1
01,20140702,0000,0012,1269,0103,7,0118,20140702171411,20140702171441,1
01,20140702,0000,0012,1269,0103,8,0117,20140702171611,20140702171637,1
01,20140702,0000,0012,1269,0103,9,0116,20140702171807,20140702171833,1
01,20140702,0000,0012,1269,0103,10,0115,20140702172003,20140702172043,1
01,20140702,0000,0012,1269,0103,11,0114,20140702172243,20140702172326,1
01,20140702,0000,0012,1269,0103,12,0113,20140702172426,20140702172452,1
01,20140702,0000,0012,1269,0103,13,0112,20140702172652,20140702172722,1
01,20140702,0000,0012,1269,0103,14,0111,20140702172902,20140702172952,1
01,20140702,0000,0012,1269,0103,15,0110,20140702173132,20140702173212,1
01,20140702,0000,0012,1269,0103,16,0109,20140702173402,20140702173437,1
01,20140702,0000,0012,1269,0103,17,0108,20140702173647,20140702173722,1
01,20140702,0000,0012,1269,0103,18,0107,20140702173942,20140702174012,1
01,20140702,0000,0012,1269,0103,19,0106,20140702174212,20140702174242,1
01,20140702,0000,0012,1269,0103,20,0105,20140702174512,20140702174542,1
01,20140702,0000,0012,1269,0103,21,0104,20140702174812,20140702174842,1
01,20140702,0000,0012,1269,0103,22,0103,20140702175222,20140702175322,1
01,20140702,0000,0020,1268,0103,1,0125,20140702165349,20140702165449,1
01,20140702,0000,0020,1268,0103,2,0124,20140702165719,20140702165749,1
01,20140702,0000,0020,1268,0103,3,0123,20140702170019,20140702170057,1
01,20140702,0000,0020,1268,0103,4,0122,20140702170257,20140702170342,1
01,20140702,0000,0020,1268,0103,5,0121,20140702170452,20140702170522,1
01,20140702,0000,0020,1268,0103,6,0120,20140702170722,20140702170803,1
01,20140702,0000,0020,1268,0103,7,0119,20140702170953,20140702171033,1
01,20140702,0000,0020,1268,0103,8,0118,20140702171153,20140702171223,1
01,20140702,0000,0020,1268,0103,9,0117,20140702171353,20140702171419,1
01,20140702,0000,0020,1268,0103,10,0116,20140702171549,20140702171615,1
01,20140702,0000,0020,1268,0103,11,0115,20140702171745,20140702171825,1
01,20140702,0000,0020,1268,0103,12,0114,20140702172025,20140702172108,1
01,20140702,0000,0020,1268,0103,13,0113,20140702172208,20140702172234,1
01,20140702,0000,0020,1268,0103,14,0112,20140702172434,20140702172504,1
01,20140702,0000,0020,1268,0103,15,0111,20140702172644,20140702172734,1
01,20140702,0000,0020,1268,0103,16,0110,20140702172914,20140702172954,1
01,20140702,0000,0020,1268,0103,17,0109,20140702173144,20140702173219,1
01,20140702,0000,0020,1268,0103,18,0108,20140702173429,20140702173504,1
01,20140702,0000,0020,1268,0103,19,0107,20140702173724,20140702173754,1
01,20140702,0000,0020,1268,0103,20,0106,20140702173954,20140702174024,1
01,20140702,0000,0020,1268,0103,21,0105,20140702174254,20140702174324,1
01,20140702,0000,0020,1268,0103,22,0104,20140702174554,20140702174624,1
01,20140702,0000,0020,1268,0103,23,0103,20140702175004,20140702175104,1
01,20140702,0000,0054,2100,0125,1,0103,20140702084805,20140702084905,2
01,20140702,0000,0054,2100,0125,2,0104,20140702085245,20140702085315,2
01,20140702,0000,0054,2100,0125,3,0105,20140702085545,20140702085615,2
01,20140702,0000,0054,2100,0125,4,0106,20140702085845,20140702085910,2
01,20140702,0000,0054,2100,0125,5,0107,20140702090110,20140702090145,2
01,20140702,0000,0054,2100,0125,6,0108,20140702090405,20140702090445,2
01,20140702,0000,0054,2100,0125,7,0109,20140702090655,20140702090730,2
