seq,stn_id,stn_name,distance,area
1,0403,苹果园,0,1
2,0404,古城路,40,1
3,0405,八角游乐园,80,1
4,0406,八宝山,120,1
5,0407,玉泉路,160,1
6,0408,五棵松,200,1
7,0409,万寿路,240,1
8,0410,公主坟（1号线）,280,1
9,0411,军事博物馆（1号线）,320,1
10,0412,木樨地,360,1
11,0413,南礼士路,400,1
12,0414,复兴门（2号线）,440,1
13,0415,西单（2号线）,480,1
14,0416,天安门西,520,1
15,0417,天安门东,560,1
16,0418,王府井,600,1
17,0419,东单（2号线）,640,1
18,0420,建国门（2号线）,680,1
19,0421,永安里,720,1
20,0422,国贸（2号线）,760,1
21,0423,大望路,800,1
22,0424,四惠（1号线）,840,1
23,0425,四惠东（1号线）,880,1
