seq,stn_id,stn_name,distance,area
1,0203,苹果园,0,1
2,0204,古城路,40,1
3,0205,八角游乐园,80,1
4,0206,八宝山,120,1
5,0207,玉泉路,160,1
6,0208,五棵松,200,1
7,0209,万寿路,240,1
8,0210,公主坟（1号线）,280,1
9,0211,军事博物馆（1号线）,320,1
10,0212,木樨地,360,1
11,0213,南礼士路,400,1
12,0214,复兴门（2号线）,440,1
13,0215,西单（2号线）,480,1
14,0216,天安门西,520,1
15,0217,天安门东,560,1
16,0218,王府井,600,1
17,0219,东单（2号线）,640,1
18,0220,建国门（2号线）,680,1
19,0221,永安里,720,1
20,0222,国贸（2号线）,760,1
21,0223,大望路,800,1
22,0224,四惠（1号线）,840,1
23,0225,四惠东（1号线）,880,1
